Wilayah;2015;2016;2017;2018;2019;2020;2021;2022
Aceh;63,44;64,26;63,74;64,04;63,13;65,10;63,78;63,50
Sumatera Utara;67,28;65,99;68,88;71,97;70,37;68,67;69,10;69,53
Sumatera Barat;64,56;67,08;66,29;67,56;67,88;69,01;67,72;69,30
Riau;63,22;66,25;64,00;65,24;64,94;65,24;65,03;63,86
Jambi;66,14;67,54;67,52;68,21;65,79;67,79;67,17;67,84
Sumatera Selatan;68,53;71,59;69,50;68,45;67,67;68,65;68,77;69,31
Bengkulu;70,70;72,70;69,30;70,27;70,09;71,73;69,75;69,81
Lampung;65,60;69,61;67,83;69,62;69,06;70,16;69,35;70,06
Kep. Bangka Belitung;66,71;68,93;66,72;67,26;67,10;66,89;65,88;67,38
Kep. Riau;65,07;65,93;66,41;64,33;64,69;66,28;68,27;68,94